ID,FBO,PHONE,Email,FBO NOTES
LIRP,ARGOS VIP,+011-39-06-7934-0563,psa@argosvph.com,
KBZN,ARLINS AIRCRAFT,800-923-2471,208-388-7417,
HEAX,ASE Egypt,2 0100 006 30 87/2 0100 126 27 31,fltops@aseegypt.aero,
EKCH,ASE HANDLING,45-2068-5928,cph@asehandling.com,
ESSA,ASE HANDLING,+46-8720-0022,ARN@ASEHANDLING.COM,
KDWU,ASHLAND AIRPORT,606-494-2034,606-494-2037,
KSLK,ASIRONDAK REG A\P,518-891-4600,518-891-6330,
KASE,ASPEN BASE OPERATION,970-920-2016,970-925-1052,"NOISE / Night Curfew, High Altitude, Mountainous"
MGGT,ASSA-AIR STATION S.A,+502-2302-9393,info@fbogt.com,After Hours: +502-5319-5182
KAHN,Athens Flight Center,706-613-3420,airport@accgov.com,
KRYY,ATLANTA NORTHSIDE AV,800-754-4300,770-422-4382,
KELP,Atlantic,915-779-2831,915-775-0833,Kevin.thompson@atlanticaviation.com
KADS,ATLANTIC AVIATION,972-713-7000,adsfrontdesk@atlanticaviation.com,
KBAF,Atlantic Aviation,1 413 485 0078,BAFfrontdesk@atlanticaviation.com,
KBCT,ATLANTIC AVIATION,1-561-368-1110,bctfrontdesk@atlanticaviation.com,
KBNA,ATLANTIC AVIATION,615-360-8109,bnafrontdesk@atlanticaviation.com,
KCHS,ATLANTIC AVIATION,843-746-7600,843-746-7642,
KCLE,ATLANTIC AVIATION,216-362-1500,clefrontdesk@atlanticaviation.com,
KCRP,ATLANTIC AVIATION,512-289-1881,512-289-2247,
KELM,Atlantic Aviation,607-739-3597,607-739-0239,Multi Service
KHFD,ATLANTIC AVIATION,800-548-9334,860-549-7408,
KIAD,ATLANTIC AVIATION,703 661 0150,Fax 703-661-0152,
KIAH,Atlantic Aviation,281-443-3434,iahfrontdesk@atlanticaviation.com,
KMCO,ATLANTIC AVIATION,407-851-8304,mcofrontdesk@atlanticaviation.com,
KMDW,ATLANTIC AVIATION,773-582-5720,mdwfrontdesk@atlanticaviation.com,
KMLB,ATLANTIC AVIATION,321-255-7111,321-255-7113,
KMSY,ATLANTIC AVIATION,504.466.1700,504.465.9699,
KPHL,ATLANTIC AVIATION,215-492-7060,215-492-6076,
KPIT,ATLANTIC AVIATION,412-472-6700,412-472-6709,
KRDU,ATLANTIC AVIATION,1-919-532-1423,RDUFrontdesk@atlanticaviation.com,
KSBA,ATLANTIC AVIATION,805-964-6733,SBAfrontdesk@atlanticaviation.com,
KSRQ,ATLANTIC AVIATION,1-941-358-9600,srqfrontdesk@atlanticaviation.com,
KSUA,ATLANTIC AVIATION,1-772-288-6700,suafrontdesk@atlanticaviation.com,
KLAS,ATLANTIC AVIATION ,800-726-2810,702-597-9181,
KBHM,ATLANTIC AVIATION EAST,205-591-6830,bhmefrontdesk@atlanticaviation.com,
KBGM,ATLANTIC AVIATION SV,607-644-1062,607-644-1093,
KSDF,ATLANTIC AVIATION SV,502-368-1515,502-368-1506,
KSNA,ATLANTIC AVIATION SV,800-500-5061,949-851-1450,
CYSJ,ATLANTIC FLIGHT CENTRE,506-634-5565,info@afcfbo.com,
MWCR,ATLANTIC-ISLAND AIR,1-345-949-5252,res@islandair.ky,SEND HANDLING REQUEST AND GENDECS
KDNL,AUGUSTA AVIATION,706-733-8970,706-738-9746,
KBEH,AV STAT,616-925-5114,616-926-8313,
KMLU,Av-Flight,1-318-387-0222,,
KOLU,AvCraft,402-564-7884,avcraftinc@gmail.com,
KGTR,Avflight Columbus,662-200-5670,csrcolumbus@avflight.com,
KFNT,AVFLIGHT FLINT,800-344-0997,810-235-9778,
KPWT,AVIAN FLIGHT CENTER,360-674-2111,notify@avianflight.com,
SKCL,AVIANCA,,,
EBBR,AVIAPARTNER EXEC,+011-32-2-723-0697,bru.executive@aviapartner.aero,
KAPN,AVIATION NORTH,517-356-6361,517-356-0952,
KAGS,AVIATION SERVICES,706-798-2656,706-796-8933,
OOMS,Aviation Svc,968-519-478,968-510-040,Contact Seif Al Behlany
MNMG,AVIATUR S.A.,505.8.839610,505.2.333089,"Christopher Montenegro
505-883-9610"
KMAF,AVION FLT CENTER,800-759-3359,915-563-4344,
KMOB,AVITAT MOBIL AIR,004-633-5000,334-622-2225,
KCHA,AVITAT-TAC AIR NORTH,1423-490-4600,1-423-894-2739,
CYQB,AVJET,418-877-6708,handlingyqb@avjet.ca,
KBLV,Avmats-Mid America,636-812-1525,pgcrow@avmats.com,
KGYH,AVSERVE,864-299-0314,864-299-0324,
KBKE,BAKER AIRCRAFT,541-523-5663,,
KBGR,BANGOR AVIATION,207-992-4582,bgrops@flybangor.com,
KHYA,BARNSTABLE MUNI. AP,508-775-2020,,
KBOW,BARTOW FLYING SERV,863 533 1195,,
EDDT,BAS BERLIN AVIATION SVC,011-49-30-4170-51920,ops@bas.aero,
KMDD,BASIN AVIATION,915-685-7000,915-683-8851,after hours answering service
KBTR,Baton Rouge Jet Center,225-355-9052,info@btrjet.com,
KSBY,BAYLAND AVIATION,410-749-0323,410-749-0035,
KROG,Beaver Lake Aviation (Walmart),479-636-9400,blacsrs@wal-mart.com,
KLEW,BEL AIR SERVICES,207-784-6318,207-784-3819,
KBLI,BELLINGHAM AVIATION SVCS,360-676-7624,info@bli-jet.com,Customs POE
KPSC,BERGSTROM AIRCRAFT,509-547-6271,info@bergstromaircraft.com,
KBML,BERLIN MUNICIPAL AIR,603-449-2168,,
KHYI,Berry Aviation,512-353-2379,fbocustomerservice@berryaviation.com,
KBFD,BFD REGIONAL APT.,814.368.5928,,
KMIV,BIG SKY AVIATION,800-752-9207,856-825-4144,
KSHR,BIGHORN AIRWAYS,1-307-672-3421,,
KARB,BIJAN AIR,734-769-8400,734-769-6555,
KSBD,BLUE'S AVIATION,909-382-0101,909-382-8562,
KBMG,BMG Aviation,812-825-7979,info@bmgaviation.com,
TISX,BOHLKE INTL AIRWAYS,340-778-9177,FBOservice@Bohlke.com,
SLCB,Bolivia Aviation,591-3-537-589,591-1-395-976,Contact Bernardo D Collaeib
KBAZ,BRAUNTEX AVIATION,830-629-1700,830-629-0743,
KAPC,BRIDGEFORD FLYING SE,800-229-6272,707-257-7770,
KART,BROUTY AIRCRAFT SERV,315-639-3783,315-639-3990,
KHYX,BROWNE AIRPORT,989-758-2459,,
KITR,BURLINGTON AVIATION,719-346-5352,,
EFHK,BUSINESS FLIGHT CENTER,011-358-20-708-2780,business.efhk@finavia.fi,
KBTM,BUTTE AVIATION,406-494-6694,406-494-6698,
KGLD,BUTTERFLY AVIATION,785-899-7531,butterfly@st-tel.net,
KPIA,BYERLY AVIATION,309-697-6300,309-697-2779,
KSBP,CAL COAST AVAITION,805-545-9569,805-543-7945,
CYBL,CAMPBELL RIVER AIRPORT,250-923-5012,airport.admin@campbellriver.ca,
KSAF,CAPITAL AVIATION,800-757-9030,505-471-0905,
KLNK,CAPITOL AVIATION,877-284-2846,402-475-8012,
TFFR,Caraibes Handling,+590-590-211462/590-690-569898/Mobile 590-690-450777,opsch@orange.fr; p.chailly@wanadoo.fr,Need landing permit-takes svrl biz days
KHBI,CARDINAL AIR,336.625.6120,asheboroairport@gmail.com,
KSCR,Cardinal Air,919-742-3847,silercityairport@gmail.com,After Hours: 919-619-2707
KEWN,CAROLINA AIR SERVICE,252-633-1400,252-633-1097,
KO39,CAROLINA FLIGHT CENT,803-366-5108,803-366-1519,
CYLW,CARSON AIR-KELOWNA SHELL AERO,250-765-8155,FBO@CARSONGOC.COM,
KSWF,CAS HANDLING,845-567-0000,845.567.0000,PH-CT
KPAE,CASTLE & COOKE AVIATION,425-355-6600,customerservicepae@castlecooke.com,
TNCC,CATS - Jet Centre Curacao,599-9-839-1221,service@catsnv.com,Sunny Oedjaghir / Manager
TXKF,Cedar Aviation,441-232-3327,fbo@cedaraviation.com,FBO will arrange taxi to take medical to hospital.  Hospital should already have ambu set for return to airport.
KF17,CENTER AIRPORT,936-598-8119,,
KGUY,CENTERLINE AVIATION,580-338-7700,580-338-7700,
CYGK,CENTRAL AIR,613-389-9300,centralair@bellnet.ca,
KAMW,Central Iowa Air Svc,515-292-9056,info@centraliowaair.com,After Hours 515-450-0442
KCWA,CENTRAL WISC AVIATION,715-693-6111,fbo@cwa-fbo.com,After Hours 715-693-2147
KGSP,Cerulean Aviation,864-655-5221,csr@ceruleanaviation.com,
LFOP,CHAMBRE DE COMMERCE,33-235-794103,33-235-804867,
LFRB,Chambre De Commerce,33-298320-100,33-298-320142,
KGVL,CHAMPION AVIATION SV,770-532-4136,770-534-1334,
KCMA,Channel Islands Aviation,805-987-1301,cia@flycia.com,After Hours 805-377-1822
KLBB,CHAPARRAL JET CENTER,806-762-6670,las@flylawton.org,
KPGD,CHARLOTTE COUNTY,941 639 4119,941 639 6214,
KCWF,CHENNAULT JET,318-436-4877,318-436-5387,
MYAM,CHEROKEE AVIATION,242-367-1900,242-367-0526,
MYAN,CHEROKEE AVIATION,1-242-367-2889,242-367-2942,
ZSSS,China Eastern Air,86-21-62680102,86-21-62686039,Contact Shi Scott
KHQZ,CITY AIRPORT TERMINA,973-222-8536,972-222-6057,
KCXW,City of Conway,501-358-6200,josh.zylks@cityofconway.org,After Hours 501-428-1832
KEMP,City of Emporia,620-343-5600,emporiaairport@emporia-kansas.gov,
KMAI,CITY OF MARIANNA,850-482-2281,,
KMWL,CITY OF MINERAL WELL,940-328-1478,,
KGYR,CITY OF PHOENIX,623-932-1200,,
KSPA,CITY OF SPARTANBURG,864-574-8552,tconnorton@cityofspartanburg.org,pre arrange after hours
KTPL,CITY OF TEMPLE,254-298-5770,254-298-5355,
KTCS,CITY OF TRUTH OR CON,505-894-6199,505-894-6199,
KHBV,CJL LIMITED,361-527-9033,,
KCGF,Cleveland Jet Center,216-261-8800,info@clevelandjetcenter.com,
KCTZ,CLINTON FLYING SERV,910-592-3295,sampson.admin@ncflyports.com,
KN66,CLIPPER AVIATION,607-431-1076,,Pre arrange after hours
TLPC,CM&S Aviation,758-484-6210/758-485-1886/758-452-3131,cmsaviation@candw.lc; intravel@candw.lc; francilia.scott@gmail.com,AA handled only by CM&S Aviation; Handling O/T: $300; Customs O/T: $300
KFTG,Co Air & Space Port,303-261-9100,Lhague@adcogov.org,
KBWG,CO-MAR AVIATION,270-781-9797,270-793-0525,
KISZ,CO-OP AIRCRAFT SERVI,1-513-791-8500,1-513-792-3413,
KCFV,COFFEYVILLE AIRCRAFT,316-251-4310,316-251-9172,
KLSE,COLGAN AIR,608-783-8359,kcolganhammen@colgan-air.com,
KEWB,COLONIAL AIR,508-997-0620,508-990-2582,
KGON,COLUMBIA AIR,860-449-1257,860-449-1047,prearrange after hours
KCOU,Columbia Jet Center,573-443-1576,smilner@columbiajet.aero,After Hours 513-817-5063
KCVG,COMAIR AVIATION,606.767.3500,606.767.2099,
KWJF,COMARCO AIRPORT SVCS,661-940-1709,661-942-6754,
KCON,CONCORD AVIATION,603-228-2267,603-228-2268,pre-arrange after hours
KOTH,COOS AVIATION,541-756-5181,,
TJBQ,Copeca Jet Center,1-787-363-2678,copeca@copecajetcenter.com,
KMQY,CORPAORATE FLIGHT MG,615-459-8883,615-459-8778,
KAGC,CORPORATE AIR,412-469-6800,customerservice@corporateairllc.com,
LIRQ,CORPORATE AIR SER,39-55-300-450,,
KJWN,CORPORATE FLIGHT MGM,615-350-5000,,
KSDL,CORPORATE JETS,800-995-5387,602-443-7227,
KSBN,CORPORATE WINGS,574-282-4200,reception@corporatewings.com,
KTZR,CORPORATE WINGS,614-878-1200,614-870-5552,
KX35,COUNTY AIRPORT,352-489-4919,,
KDDC,Crotts aircraft avc,620-227-3553,crotts@ucom.net,
KTDZ,CROW EXECUTIVE AIR,419-838-6921,ceo@crowair.com,
KMYF,CROWN AIR,619-277-1453,619-277-1937,
KOUN,CRUISE AVIATION,405-360-3900,405-329-0604,
KCMD,Cullman Airport,256-775-1011,bharrison@cullmanregionalairport.org,
KCMD,Cullman Airport,256-775-1011,bharrison@cullmanregionalairport.org,
KCTB,Cutbank Arprt Authority,406-873-8683,cbaa_mt@yahoo.com,After Hours 406-229-0376
KABQ,CUTTER AVIATION,800-678-5382,infoalbuquerque@cutteraviation.com,
KCOS,CUTTER AVIATION,719-591-2065,infocos@cutteraviation.com,After Hours 505-269-5546
KDVT,CUTTER AVIATION,623-581-1444,infodvt@cutteraviation.com,
KPHX,CUTTER AVIATION,602-273-1237,infophoenix@cutteraviation.com,
KRBD,CUTTER AVIATION,877-711-2713,214-339-2792,
KUGN,DB AVIATION,800-922-3835,847-336-9320,
LMML,DC AVIATION,356-21375973,356-21375958,
KDEC,DECATUR AVIATION,217-423-9832,,
KIPT,DEGOL JET CENTER,800-872-3599,717-368-8651,
KDED,DELAND AV.,386-785-0092,386-785-0094,Afters hrs # on door of FBO
LIRZ,DELTA AEROTAXI SRL,+39-075-592-9058,perugia@deltaflr.it,
KBJC,DENVER AIR CENTER,800-525-8139,303-466-1524,
KAPA,Denver Jet Center ,303-790-4321,customerservice@denverjetcenter.com,
KDMN,Desert Aviation,575-544-3660,desertnm310@gmail.com,After Hours 575-494-2311
KHII,Desert Skies Exec.,928-764-8000,desertskiesexecutiveair@yahoo.com,
LEPP,Desiderio,34-48-31-8072,34-48-31-8404,Contact Jefe De Escela
KEHR,Don Davis Aviation,270-826-6000,customerservice@dondavisaviation.com,
KFHU,DOUBLE EAGLE AVIATIO,1-520-459-7305,1,
KBFM,DOWNTOWN AIR CENTER,1334-433-2800,334-433-2857,
KMFI,DUFFS AIRCRAFT,715-387-2211,715-384-5251,
KHEF,DULLES AVIATION,888-835-9324,703-361-4478,
KBTL,DUNCAN AVIATION INC.,1-800-525-2376,1-269-969-8432,
KDPA,DUPAGE FLIGHT CENTER,800-208-5690,630-443-9077,
KDRO,DURANGO AIR SERVICE,970-247-5535,970-247-5537,
KDUA,DURANT CITY AIRPORT,580-920-0574,580-296-2717,
KPOU,DUTCHESS CO. AIRPORT,845.463.6000,845.462.0083,On Call: Call ahead
KCAE,EAGLE AVIATION,888-425-7466,,
KEYE,EAGLE CREEK,317-293-6935,317-299-1058,pre-arrange after hours
KLWM,EAGLE EAST AVIATION,978-683-3314,,
KMGR,Eagles of America,229-890-9464,contact@eaglesfbo.com,
KESN,EASTON JET,410-820-8770,410-820-5082,
KEBG,EDINBURG INT'L ARPT.,956-292-2088,956-522-3580 Cell,"Self Serve Airport, Pilot must fuel. No Prist. Non-branded JetA"
KBIL,EDWARDS JET CENTER,866.353.8245,406.245.9491,$4.33
KDSM,ELLIOTT AVIATION,515-285-6551,dsmfront@elliottaviation.com,After Hours 515-285-6551
KFCM,ELLIOTT AVIATION,952-944-1200,fcmcontacts@elliottaviation.com,
KMLI,Elliott Aviation,309-799-3183,jgowey@elliottaviation.com,After Hours 309-737-6554
KRFD,EMERY AIR,800-435-8090,,
KWDG,ENID AIRPORT,800-259-5476,wdgairport@enid.org,After Hours: 580-231-0189
CYOO,ENTERPRISE AIRLINES,1800-668-4382,info@enterpriseair.ca,
KPDK,Epps Aviation,770-458-9851,cservice@eppsaviation.com,
KACV,EUREKA ARPT,707-839-5401,,
LGSA,EURO AVIATION,30-210-3534315,30-210-3532624,
LDZA,EURO JET ,1-800-849-0597,ops@eurojet-service.com,
LEBL,Euro Service,34-3-370-0654,34-3-478-3672,Contact Bill Sergio
KHLN,EXEC AIR MONTANA,800-513-2190,info@execairmontana.com,
KCRW,EXEC AIR TERM.,800-788-3876,304-343-8828,
TTPP,Exec Jet Centre/Signature,868-224-8101,POS@signatureflight.com,
KMDQ,EXEC. FLIGHT CTR,256.828.1403,info@executiveflightcenter.com,After Hours 256-603-9345
CYYZ,EXECAIRE AVIATION,1 905-677-6901,torontofbo@execaire.com, rqst slot from FBO
DNMM,EXECUJET AVIATION NIGERIA,+011-234-1-295-5110,fbo.dnmm@execujet.com.ng,
FALA,Execujet Aviation Services,27 11 7013472,fbo.fala@execujet.co.za,
KBIS,EXECUTIVE AIR TAXI,1-701-258-5024,701-258-2693,
CYAM,EXECUTIVE AVIATION,249-889-1244,YAMOPS@EXECUTIVEAVIATION.CA,
CYXU,EXECUTIVE AVIATION,1888-867-5280,customerservice@executiveaviation.ca,
KIXD,EXECUTIVE BEECH,913-782-9003,913-782-1555,
KMKC,EXECUTIVE BEECHCRAFT,800-821-7992,816-842-9948,
CYMM,EXECUTIVE FLIGHT CENTRE,780-791-9881,fbo.ymm@efcaviation.ca,
CYYC,EXECUTIVE FLIGHT CENTRE,888-299-2825,yyctlogistics@efcaviation.ca,
CYEG,EXECUTIVE FLT CENTER,780-890-8640,yegt1@efcaviation.ca,
EGTE,Exeter Handling,44-01392-354-995,xlr@exeter-airport.co.uk,
KMLS,FALCON AVIATION,406-232-1296,406-232-6605,
KODO,FAR MOR AVIATION,432-367-5881,432-367-5883,
KFAR,FARGO JET CENTER,701-373-8800,,
EDDF,FAS FRANKFURT AVIATION SVC,011-49-69-6380-9620,ops@fas.aero,
CYWG,FASTAIR JET CENTRE,204-831-7714,service@flyfastair.com,
KFYV,FAYETTEVILLE AIR,501-443-4343,501-443-9086,
LKPR,FERAS,420-233343362,420-233343102,LKPR
KSDM,First Flight,619-661-6522,firstflightcorp@yahoo.com,
KCMI,FLIGHT STAR,217-351-7700,csr@flightstar.com,
KEUG,FLIGHTCRAFT,800-776-6312,541-688-5749,
KPDX,FLIGHTCRAFT,800-547-9307,503-331-4273,answering service after hours
KOQU,Flightlevel Aviation,401-295-5020,KOQU@ParagonFBO.com,
KGCC,FLIGHTLINE AV SVCS,307-686-7000,307-686-5770,
KNEW,Flightline First,504-244-4448,flightlinefirst@gmail.com,After Hours 504-722-9188
CYKF,FLITELINE SERVICES,519-514-0530,ykfcsr@fliteline.ca,
EDDR,FLUGHAFEN,49-6893-83244,occ@scn-airport.de,
KOKK,FLYING EAGLE,765-868-2084,765-868-1042,
KCNO,Flying Tigers Aviation,909-606-3300,yvette@flyingtigersaviation.net,
KFLD,Fond Du Lac Skyport,800-686-1696,-9648,
KOPF,Fontainebleau Aviation,305-685-4646,info@fbaviation.com,
KFOD,Fort Dodge Flight Support,515-955-3434,Fax: 515-955-4254,After Hours 515-570-6206
KFWA,Fort Wayne Aero Center,260-446-3456,csr@fwaerocenter.com,
KFNL,FORTCOLLINS JETCENTE,970-667-2574,customerservice@fnljetcenter.com,
KSCH,FORTUNE AIR,518-381-9965,518-374-5338,
KFDK,FREDERICK AVIATION,301-662-8156,301-662-3101,
VICG,FREEDOM AIR SERVICES,,,
VIDP,FREEDOM AIR SERVICES,011-91-11-298-13311,011-91-11-298-18737,Contact: Deepak Rimal
KLYH,Freedom Aviation,434-237-8420,soliver@flyfreedomaviation.com,After Hours 434-944-3056
KLCH,Freeman Jet Center,337 478 7722 or 337 794 0477,info.lch@freemanjetcenter.com,
KDRT,FRONTERA AVIATION,930-768-4842,,
PACD,FROSTY FUELS,1-907-532-2467,1-907-532-2817,Mike
KIZG,FRYEBURG,207-935-2800,207-935-4492,
KFXE,Ft. Lauderdale Exec Jet Ctr,954-351-2003,info@fxejetcenter.com,
KGNT,G-M AVIATION,505-287-4700,505-287-7502,AV-GAS ONLY
ENBR,GA PARTNER,47-938-15-000,ops@gapa.no,
KCXO,GALAXY AIR SERVICE,936-494-4252,INFO@galaxyfbo.com,
KPPF,Galaxy Air Svcs,620-336-3440,dchristy@parsonsairport.com,
KSGJ,GALAXY AVIATION,904-824-1995,904-824-4509,
KGUP,GALLUP FLYING,505-863-6606,505-863-4381,
KLAX,GARRETT AVIATION,800-942-7738,310-757-3409,
KGYY,GARY JET CENTER,800-892-8178,219-944-8232,
CYHZ,GATEWAY FACILITIES,902-802-4979,fbo@yhzgateway.com,
CYQY,GATEWAY SYDNEY,902-999-7044,customerservice@yqygateway.com,
KGKT,GATLINBURG AVIATION,423-453-8393,,
MYGF,GBAC Aviation Services,242-350-4233 or 242-350-4331,fbo@airportsbahamas.com or huyler.wendy@airportsbahamas.com,AIRPORT CLOSED DUSK-DAWN!
KDFW,GENERAL AV. TERM. 2,972-574-3390,,
KPQI,GENERAL AVIATION,207-764-2555,207-764-4871,
KUOX,GENERAL AVIATION,1-662-234-2036,,
KJFK,GENERAL AVIATION TER,718.244.4111,718.244.3940,
KGED,GEORGETOWN AIR SVC,877-436-8696,,
KGGE,GEORGETOWN AVAITION,843-546-6171,843-546-4356,
KLZU,GEORGIA JET,800-426-6557,,
KGEU,GLENDALE AVATION,623-872-1368,623-872-1360,
KBQK,GLYNCO TAJ AVIATION,912-264-9200,912-267-9585,
KSSI,Golden Isles,912-638-8617,goldenislesaviation@yahoo.com,
KALW,GORGE AVIATION SVCS,509-525-9851,ron@gorgeaviationservices.com,Runway 6527
LTBJ,Gozen Air,90-232-274-2191,90-232-274-2111,Contact Verique Guevel
LTAC,Gozen Air Service,90-312-398-0377,90-312-398-0346,
LTBA,Gozen Air Service,90-212-663-0879,90-212-663-0856,Contact Vernique Guevel
KTTF,GRAND AIRE,734-457-1730,734-457-1798,
KLEB,Granite Air Center,603-298-6555,customer.service@graniteair.com,
PANC,GREAT CIRCLE FLT SVS,907-245-1232,907-245-1501,
CYQG,GREAT LAKES FLT.CTR,519-969-7052,dispatch@glfc.ca,
KROW,GREAT SOUTHWEST AVAI,800-824-0531,505-347-2431,
KOGD,GREAT WESTERN JET,800-748-5454,801-394-9563,
KGXY,GREELY WELD CO.,970-356-9141,970-356-2643,
KGVT,GREENVILLE AVATION,903-457-2960,903-454-4606,
KGCY,Greenville Aviation Avcs,423-639-6275,greenevilleaviation@comcast.net,
TDPD,Ground Handlers Ltd.,767-445-8936,767-445-8841,Dock is 60min drive
PGUM,GUAM INT'L AIRPORT,671-344-8697,,
KHRL,Gulf Aviation,956-423-7317,custservice@gulf-aviation.net,
KGUC,GUNNISON VALLEY AVIA,970-641-0526,970-641-4089,
OMDB,HADID INTERNATIONAL SERIVES,011-971-4-299-7777,011-971-4-299-7700,
FOOL,HANDLING PARTNER GABON,241-01-73-43-93,contact@hpg.aero,
EGNH,HANGAR 3 BLACKPOOL,+44-1253-407070,BLKhandling@hangar3blackpool.com,after hours 44-7845-020806
KTVC,HARBOUR AIR,616-929-1126,,
MTPP,HAT ENTERPRISES,+509-3652-6460 (supervisor),509-22504959,
KIND,HAWKER BEECHCRAFT,800-365-6734,317-240-5093,Phillis Fuel
KAKO,HAYES AVIATION,800-945-0161,970-345-2731,
KHYS,Hays Aircraft LLC,785-628-8881,haysaircraft@gmail.com,
KEZM,HEART OF GEORGIA REGIONAL FBO,1-478-374-4411,fordhamaviation@gmail.com,
KJES,HELI-JET,912-427-5949,912-588-0755,
KFFZ,Heliponents,480-981-8300,Info@HeliponentsInc.com,After Hours 480-223-8348
